@ HyperIMU - ianovir - 2016
@ Date: Mon Apr 17 16:43:40 GMT+02:00 2017
@ Sensors: STK3310_Proximity_sensor - STK3310_Light_sensor - Display_Rotation_sensor - BOSCH_BMC150_Acceleration_Sensor - BOSCH_BMC150_Magnetic_Field_Sensor - BOSCH_Gyroscope_Sensor - Rotation_Vector_Sensor - Gravity_Sensor - Linear_Acceleration_Sensor - Orientation_Sensor
@ SamplingTime: 20ms

1492440220360,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-1.1300632,4.156334,9.959879,-2.0,-30.0,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220387,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-1.1300632,4.156334,9.959879,-2.0,-30.0,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220408,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,-1.3024458,3.86903,8.331821,-0.75,-34.75,-31.5,0.14807177,-0.06711166,0.05752428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220430,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,-0.9768343,3.9073372,7.5465236,-0.75,-34.75,-31.5,0.027696876,-0.165116,0.12037488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220451,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,-0.7278373,3.9264908,7.8146744,0.25,-36.75,-30.25,-0.1768339,-0.12037488,0.07243799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220474,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,-1.0342951,3.9456444,9.11712,0.25,-36.75,-30.25,-0.26205507,-0.07350325,-0.013848438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220496,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,-1.091756,3.8115692,9.136273,0.25,-36.75,-30.25,-0.0958738,-0.10333065,0.013848438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220517,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,-0.9576807,3.8498764,9.078813,0.5,-37.75,-29.0,0.023435818,-0.0777643,0.05219796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220539,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,-0.90021986,3.8498764,8.676587,0.5,-37.75,-29.0,0.07243799,-0.094808534,0.060720075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220561,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,-0.8810662,3.8498764,8.0445175,0.75,-38.5,-28.75,-0.011717909,-0.128897,0.06498113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220583,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,-0.7086837,3.86903,8.236053,0.75,-38.5,-28.75,-0.11611383,-0.14913702,0.060720075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220605,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,-0.6703765,3.715801,8.197746,0.75,-38.5,-28.75,-0.21624869,-0.27696875,0.035153728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220626,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,-0.4405331,3.5817258,8.2169,0.25,-38.25,-29.0,-0.3568636,-0.5368933,0.046871636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220648,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,-0.32561144,3.2369606,8.1402855,0.25,-38.25,-29.0,-0.45912898,-0.5784386,0.049002163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220669,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,-0.59376204,3.5051112,8.829816,0.25,-38.25,-28.75,-0.45060685,-0.65194184,0.15339808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220691,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,-0.6703765,2.930503,8.734048,0.25,-38.25,-28.75,-0.34940675,-1.0215886,0.14061491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220712,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,-0.51714754,2.432509,8.408437,0.25,-38.25,-28.75,-0.47830373,-1.0641992,0.30146983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
1492440220734,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0262709,10.189722,-0.25,-37.5,-29.25,-0.7052051,-1.5435683,0.49960902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
