@ HyperIMU - ianovir - 2016
@ Date: Tue Mar 21 15:58:07 GMT+01:00 2017
@ Sensors: STK3310_Proximity_sensor - STK3310_Light_sensor - Display_Rotation_sensor - BOSCH_BMC150_Acceleration_Sensor - BOSCH_BMC150_Magnetic_Field_Sensor - BOSCH_Gyroscope_Sensor - Rotation_Vector_Sensor - Gravity_Sensor - Linear_Acceleration_Sensor - Orientation_Sensor
@ SamplingTime: 20ms

0.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.436521,8.331821,2.8921957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
0.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.340753,8.350976,2.8921957,-50.75,-54.5,11.25,0.11824436,-0.05539375,-0.017044231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
0.0,0.0,0.0,59.0,0.0,0.0,3.0,0.0,0.0,-1.340753,8.446744,2.8538885,-81.25,-87.25,18.0,0.05965481,-0.036218993,-0.020240024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
0.0,0.0,0.0,59.0,0.0,0.0,3.0,0.0,0.0,-1.2641385,8.42759,3.083732,-81.25,-87.25,18.0,-0.023435818,-0.082025364,-0.0063915867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
0.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.3790601,8.504205,2.9496565,-81.25,-87.25,18.0,-0.06711166,-0.12037488,0.0127831735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
100.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.340753,8.446744,3.064578,-55.0,-74.0,17.5,0.014913702,-0.05965481,0.046871636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
100.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.436521,8.408437,2.96881,-55.0,-74.0,17.5,0.07882957,-0.04261058,0.03195793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
100.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.4556746,8.446744,2.834735,-37.0,-63.25,17.25,0.004261058,-0.0479369,0.00958738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
100.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.3982137,8.389283,3.083732,-37.0,-63.25,17.25,-0.02130529,-0.03834952,0.0127831735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
100.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.3790601,8.446744,3.0262709,-28.5,-58.25,16.25,0.020240024,0.037284255,0.033023197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
100.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.3599066,8.465898,3.1794999,-28.5,-58.25,16.25,0.06498113,0.06391586,0.046871636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
100.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.3599066,8.504205,3.1411927,-28.5,-58.25,16.25,0.07563378,0.05752428,0.05752428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
100.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.2641385,8.274361,3.0262709,-24.0,-55.75,16.0,0.06391586,0.01917476,0.07669904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
100.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.3599066,8.504205,2.930503,-24.0,-55.75,16.0,0.0010652645,-0.008522116,0.043675844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
100.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.4173675,8.485051,2.8538885,-22.0,-54.5,16.5,-0.07669904,-0.0628506,0.029827405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
100.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.2449849,8.350976,2.930503,-22.0,-54.5,16.5,-0.10652645,-0.058589544,0.054328486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
100.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.532289,8.389283,3.0262709,-21.5,-53.5,16.5,-0.17576863,-0.12783173,0.043675844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
100.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.4556746,8.37013,3.3327289,-21.5,-53.5,16.5,-0.2396845,-0.24074976,0.05219796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
100.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,-1.0151415,8.389283,3.122039,-21.5,-53.5,16.5,-0.24607609,-0.3387541,0.07243799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0#
